,Rank2,Rank3,Rank4,Rank5,OTU_Median,OTU_Max,OTU_Min,OTU_count,Min_relabund,Max_relabund,Median_relabund,Cumulative median_rel
148,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,0,0.000332884,0,10,5.75E-05,0.001823759,0.000574587,
213,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,0,0.000312836,0,8,0.000429445,0.001906657,0.000873289,
97,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,0,0.000311848,0,22,0.000618906,0.004830154,0.001718551,0.001718551
104,Candidate_division_BRC1,uncultured_bacterium,NA,NA,0,0.000298272,0,3,2.32E-05,0.000863346,8.57E-05,
219,Proteobacteria,Deltaproteobacteria,Myxococcales,mle1-27,0,0.000291755,0,2,9.28E-06,0.000531892,6.46E-05,
89,Armatimonadetes,uncultured_bacterium,NA,NA,0,0.000286956,0,15,0.001099248,0.002587582,0.001584745,0.001584745
217,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,0,0.00028595,0,9,0.000312864,0.001796932,0.000900719,
172,Proteobacteria,Alphaproteobacteria,DB1-14,uncultured_bacterium,0,0.000284475,0,9,1.58E-05,0.001686779,0.000728835,
23,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,0,0.000283863,0,3,4.43E-05,0.000815822,0.000137903,
166,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,0,0.000276031,0,107,0.004041833,0.024815252,0.007541056,0.007541056
3,Acidobacteria,Candidatus_Chloracidobacterium,uncultured_bacterium,NA,0,0.000272762,0,3,0.00020408,0.000733148,0.00039722,
114,Chloroflexi,Chloroflexales,Chloroflexaceae,Chloroflexus,0,0.00026947,0,6,6.40E-05,0.001291058,0.000213345,
137,Cyanobacteria,SubsectionIII,FamilyI,NA,0,0.000269301,0,2,0,0.000538601,5.44E-05,
133,Cyanobacteria,SubsectionI,FamilyI,uncultured_cyanobacterium,0,0.00026138,0,1,0,0.00026138,9.56E-06,
193,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,0,0.000252038,0,9,0.000217817,0.00147835,0.000647439,
160,Planctomycetes,OM190,uncultured_bacterium,NA,0,0.000247085,0,4,8.84E-05,0.00078414,0.000350414,
99,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,0,0.000243318,0,5,0.000190165,0.001078159,0.000328305,
203,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,0,0.000233327,0,1,0,0.000233327,4.04E-05,
233,Proteobacteria,Gammaproteobacteria,NA,NA,0,0.000218765,0,1,0,0.000218765,7.50E-05,
115,Chloroflexi,Chloroflexales,FFCH7168,uncultured_bacterium,0,0.000201787,0,7,0.000146238,0.001150037,0.00059883,
245,Verrucomicrobia,Opitutae,vadinHA64,uncultured_bacterium,0,0.000180012,0,1,0,0.000180012,1.30E-05,
198,Proteobacteria,Alphaproteobacteria,Sphingomonadales,JG34-KF-161,0,0.000178228,0,1,0,0.000178228,2.73E-05,
37,Actinobacteria,Kineosporiales,Kineosporiaceae,Quadrisphaera,0,0.000173345,0,1,0,0.000173345,2.38E-05,
30,Actinobacteria,Frankiales,Sporichthyaceae,Sporichthya,0,0.00016612,0,1,0,0.00016612,2.98E-05,
87,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,0,0.000161196,0,1,0,0.000161196,5.30E-05,
129,Cyanobacteria,MLE1-12,NA,NA,0,0.000158412,0,1,0,0.000158412,4.56E-05,
138,Cyanobacteria,SubsectionIII,FamilyI,Crinalium,0,0.000154452,0,1,0,0.000154452,1.19E-05,
28,Actinobacteria,Frankiales,Nakamurellaceae,uncultured,0,0.000151569,0,1,0,0.000151569,2.30E-05,
145,Elusimicrobia,MVP-88,uncultured_bacterium,NA,0,0.000150808,0,1,0,0.000150808,3.43E-05,
134,Cyanobacteria,SubsectionI,FamilyI,NA,0,0.000150491,0,1,0,0.000150491,1.74E-05,
169,Planctomycetes,vadinHA49,NA,NA,0,0.000150491,0,1,0,0.000150491,1.24E-05,
100,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12_marine_group,0,0.000144936,0,3,2.53E-05,0.000388137,0.000106931,
212,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,0,0.000144458,0,20,0.000182174,0.001796126,0.000877404,
102,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,PHOS-HE51,0,0.000143755,0,1,0,0.000143755,4.85E-05,
161,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,0,0.000136567,0,2,0,0.000273134,5.87E-05,
77,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinocorallia,0,0.000133016,0,2,1.11E-05,0.000193429,6.88E-05,
250,Verrucomicrobia,Spartobacteria,NA,NA,0,0.00013069,0,1,0,0.00013069,3.51E-05,
164,Planctomycetes,Phycisphaerae,WD2101_soil_group,uncultured_soil_bacterium,0,0.00012673,0,1,0,0.00012673,2.67E-05,
234,Proteobacteria,TA18,uncultured_bacterium,NA,0,0.00012673,0,1,0,0.00012673,1.79E-05,
12,Acidobacteria,Holophagae,CA002,NA,0,0.000124851,0,1,0,0.000124851,3.44E-05,
103,Bacteroidetes,VC2.1_Bac22,uncultured_bacterium,NA,0,0.000123455,0,1,0,0.000123455,1.15E-05,
105,Candidate_division_OD1,uncultured_bacterium,NA,NA,0,0.000122769,0,1,0,0.000122769,3.79E-05,
34,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces,0,0.000122769,0,1,0,0.000122769,2.25E-05,
225,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,0,0.000116757,0,4,3.44E-05,0.000280293,0.000114172,
130,Cyanobacteria,SHA-109,uncultured_bacterium,NA,0,0.000115004,0,1,0,0.000115004,2.44E-05,
218,Proteobacteria,Deltaproteobacteria,Myxococcales,FFCH16767,0,0.000114157,0,2,0,0.000181892,5.48E-05,
48,Actinobacteria,Micrococcales,Micrococcaceae,NA,0,0.000113677,0,1,0,0.000113677,4.12E-05,
78,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,0,0.000112604,0,1,0,0.000112604,1.16E-05,
22,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996_marine_group,0,0.000110531,0,1,0,0.000110531,5.77E-05,
220,Proteobacteria,Deltaproteobacteria,Myxococcales,VHS-B3-70,0,0.000108102,0,2,0,0.000173191,4.06E-05,
5,Acidobacteria,Candidatus_Solibacter,uncultured_bacterium,NA,0,0.000106921,0,1,0,0.000106921,3.10E-05,
248,Verrucomicrobia,Spartobacteria,Chthoniobacterales,01D2Z36,0,0.000102726,0,1,0,0.000102726,2.50E-05,
21,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Candidatus_Microthrix,0,9.88E-05,0,1,0,9.88E-05,1.77E-05,
88,Armatimonadetes,Armatimonadia,Armatimonadales,NA,0,9.19E-05,0,1,0,9.19E-05,4.59E-05,
221,Proteobacteria,Gammaproteobacteria,34P16,NA,0,9.11E-05,0,1,0,9.11E-05,2.17E-05,
33,Actinobacteria,Frankiales,NA,NA,0,9.03E-05,0,1,0,9.03E-05,2.71E-05,
79,Actinobacteria,TakashiAC-B11,uncultured_bacterium,NA,0,8.86E-05,0,1,0,8.86E-05,3.61E-05,
238,TM6,uncultured_bacterium,NA,NA,0,8.77E-05,0,2,0,0.000172837,3.17E-05,
223,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,0,7.36E-05,0,2,0,9.50E-05,1.21E-05,
152,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,0,7.23E-05,0,1,0,7.23E-05,1.50E-05,
127,Chloroflexi,Thermomicrobia,JG30-KF-CM45,uncultured_soil_bacterium,0,6.77E-05,0,1,0,6.77E-05,2.22E-05,
63,Actinobacteria,Propionibacteriales,Nocardioidaceae,NA,0,5.79E-05,0,1,0,5.79E-05,2.39E-05,
123,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Thermosporotrichaceae,0,5.76E-05,0,1,0,5.76E-05,1.05E-05,
226,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,0,5.37E-05,0,1,0,5.37E-05,1.57E-05,
239,Verrucomicrobia,OPB35_soil_group,Pedosphaera,NA,0,4.31E-05,0,1,0,4.31E-05,1.03E-05,
